size,run,suite,method,time_s,time_ms
1048576,1,scan,scan_cpu_pow2,0.4504,450.40000000000003
1048576,1,scan,scan_cpu_non_pow2,0.4851,485.09999999999997
1048576,1,scan,scan_naive_pow2,1.36806,1368.06
1048576,1,scan,scan_naive_non_pow2,1.63558,1635.58
1048576,1,scan,scan_work_efficient_pow2,0.2928,292.8
1048576,1,scan,scan_work_efficient_non_pow2,0.119808,119.80799999999999
1048576,1,scan,scan_thrust_pow2,0.591872,591.872
1048576,1,scan,scan_thrust_non_pow2,0.871424,871.424
1048576,1,compact,compact_cpu_without_scan_pow2,1.7626,1762.6
1048576,1,compact,compact_cpu_without_scan_non_pow2,1.6515,1651.5
1048576,1,compact,compact_cpu_with_scan,2.9795,2979.5
1048576,1,compact,compact_work_efficient_pow2,0.485824,485.82399999999996
1048576,1,compact,compact_work_efficient_non_pow2,0.269312,269.312
1048576,2,scan,scan_cpu_pow2,0.5501,550.1
1048576,2,scan,scan_cpu_non_pow2,0.4727,472.7
1048576,2,scan,scan_naive_pow2,0.99328,993.2800000000001
1048576,2,scan,scan_naive_non_pow2,0.896576,896.576
1048576,2,scan,scan_work_efficient_pow2,0.991584,991.5840000000001
1048576,2,scan,scan_work_efficient_non_pow2,0.15872,158.72
1048576,2,scan,scan_thrust_pow2,0.504832,504.83199999999994
1048576,2,scan,scan_thrust_non_pow2,0.50688,506.88
1048576,2,compact,compact_cpu_without_scan_pow2,1.7609,1760.8999999999999
1048576,2,compact,compact_cpu_without_scan_non_pow2,1.7537,1753.7
1048576,2,compact,compact_cpu_with_scan,3.0031,3003.1
1048576,2,compact,compact_work_efficient_pow2,0.57184,571.84
1048576,2,compact,compact_work_efficient_non_pow2,0.28672,286.71999999999997
1048576,3,scan,scan_cpu_pow2,0.4682,468.2
1048576,3,scan,scan_cpu_non_pow2,0.5173,517.3
1048576,3,scan,scan_naive_pow2,1.0007,1000.6999999999999
1048576,3,scan,scan_naive_non_pow2,0.8968,896.8000000000001
1048576,3,scan,scan_work_efficient_pow2,0.33104,331.04
1048576,3,scan,scan_work_efficient_non_pow2,0.129024,129.024
1048576,3,scan,scan_thrust_pow2,0.555008,555.0079999999999
1048576,3,scan,scan_thrust_non_pow2,0.534528,534.528
1048576,3,compact,compact_cpu_without_scan_pow2,1.788,1788.0
1048576,3,compact,compact_cpu_without_scan_non_pow2,1.7597,1759.7
1048576,3,compact,compact_cpu_with_scan,2.905,2905.0
1048576,3,compact,compact_work_efficient_pow2,0.562208,562.2080000000001
1048576,3,compact,compact_work_efficient_non_pow2,0.236544,236.544
1048576,4,scan,scan_cpu_pow2,0.5049,504.90000000000003
1048576,4,scan,scan_cpu_non_pow2,0.5013,501.29999999999995
1048576,4,scan,scan_naive_pow2,1.05923,1059.2299999999998
1048576,4,scan,scan_naive_non_pow2,1.55363,1553.63
1048576,4,scan,scan_work_efficient_pow2,0.309632,309.632
1048576,4,scan,scan_work_efficient_non_pow2,0.128,128.0
1048576,4,scan,scan_thrust_pow2,0.5632,563.2
1048576,4,scan,scan_thrust_non_pow2,1.18886,1188.8600000000001
1048576,4,compact,compact_cpu_without_scan_pow2,1.7676,1767.6000000000001
1048576,4,compact,compact_cpu_without_scan_non_pow2,1.7558,1755.8
1048576,4,compact,compact_cpu_with_scan,3.0609,3060.9
1048576,4,compact,compact_work_efficient_pow2,0.45408,454.08
1048576,4,compact,compact_work_efficient_non_pow2,0.289792,289.792
1048576,5,scan,scan_cpu_pow2,0.5039,503.90000000000003
1048576,5,scan,scan_cpu_non_pow2,0.4544,454.40000000000003
1048576,5,scan,scan_naive_pow2,1.04778,1047.78
1048576,5,scan,scan_naive_non_pow2,1.02218,1022.1800000000001
1048576,5,scan,scan_work_efficient_pow2,0.269248,269.248
1048576,5,scan,scan_work_efficient_non_pow2,0.130048,130.048
1048576,5,scan,scan_thrust_pow2,1.02502,1025.02
1048576,5,scan,scan_thrust_non_pow2,1.03936,1039.3600000000001
1048576,5,compact,compact_cpu_without_scan_pow2,1.7631,1763.1
1048576,5,compact,compact_cpu_without_scan_non_pow2,1.767,1767.0
1048576,5,compact,compact_cpu_with_scan,3.1677,3167.7
1048576,5,compact,compact_work_efficient_pow2,0.541056,541.0559999999999
