size,suite,method,time_s,time_ms
256,compact,compact_cpu_with_scan,0.00083,0.83
256,compact,compact_cpu_without_scan_non_pow2,0.0004,0.4
256,compact,compact_cpu_without_scan_pow2,0.0007099999999999999,0.71
256,compact,compact_work_efficient_non_pow2,0.06543360000000001,65.43360000000001
256,compact,compact_work_efficient_pow2,0.1494112,149.4112
256,scan,scan_cpu_non_pow2,0.0002,0.2
256,scan,scan_cpu_pow2,0.00049,0.49
256,scan,scan_naive_non_pow2,0.1725504,172.5504
256,scan,scan_naive_pow2,0.2866176,286.6176
256,scan,scan_thrust_non_pow2,0.0502784,50.2784
256,scan,scan_thrust_pow2,0.12134400000000001,121.34400000000001
256,scan,scan_work_efficient_non_pow2,0.0195584,19.5584
256,scan,scan_work_efficient_pow2,0.0817152,81.7152
512,compact,compact_cpu_with_scan,0.00159,1.59
512,compact,compact_cpu_without_scan_non_pow2,0.00058,0.58
512,compact,compact_cpu_without_scan_pow2,0.0013,1.3
512,compact,compact_work_efficient_non_pow2,0.07280640000000001,72.80640000000001
512,compact,compact_work_efficient_pow2,0.1309696,130.96959999999999
512,scan,scan_cpu_non_pow2,0.00031999999999999997,0.31999999999999995
512,scan,scan_cpu_pow2,0.0007,0.7
512,scan,scan_naive_non_pow2,0.2143232,214.32319999999999
512,scan,scan_naive_pow2,0.3777538,377.75379999999996
512,scan,scan_thrust_non_pow2,0.048041600000000004,48.0416
512,scan,scan_thrust_pow2,0.1229824,122.98240000000001
512,scan,scan_work_efficient_non_pow2,0.020992,20.992
512,scan,scan_work_efficient_pow2,0.08140800000000001,81.408
1024,compact,compact_cpu_with_scan,0.00292,2.92
1024,compact,compact_cpu_without_scan_non_pow2,0.0010999999999999998,1.0999999999999999
1024,compact,compact_cpu_without_scan_pow2,0.00224,2.2399999999999998
1024,compact,compact_work_efficient_non_pow2,0.109568,109.568
1024,compact,compact_work_efficient_pow2,0.18309440000000002,183.0944
1024,scan,scan_cpu_non_pow2,0.00052,0.5199999999999999
1024,scan,scan_cpu_pow2,0.00101,1.01
1024,scan,scan_naive_non_pow2,0.21790720000000002,217.90720000000002
1024,scan,scan_naive_pow2,0.3908608,390.8608
1024,scan,scan_thrust_non_pow2,0.0443424,44.3424
1024,scan,scan_thrust_pow2,0.12461440000000001,124.61440000000002
1024,scan,scan_work_efficient_non_pow2,0.0833568,83.35679999999999
1024,scan,scan_work_efficient_pow2,0.174288,174.288
2048,compact,compact_cpu_with_scan,0.00693,6.930000000000001
2048,compact,compact_cpu_without_scan_non_pow2,0.00229,2.29
2048,compact,compact_cpu_without_scan_pow2,0.00439,4.39
2048,compact,compact_work_efficient_non_pow2,0.1659904,165.99040000000002
2048,compact,compact_work_efficient_pow2,0.18575360000000002,185.7536
2048,scan,scan_cpu_non_pow2,0.00095,0.95
2048,scan,scan_cpu_pow2,0.00134,1.34
